Date,Day of Week,Time_(h),Type of Card,Entry Mode,Amount,Type of Transaction,Merchant Group,Country of Transaction,Shipping Address,Country of Residence,Gender,Age,Bank,Fraud
2020-10-14,Wednesday,6,Visa,CVC,23,Online,Entertainment,Russia,Russia,United Kingdom,F,43.4,Metro,True
2020-10-14,Wednesday,6,Visa,PIN,30,ATM,Children,India,India,United Kingdom,M,39.1,Barclays,True
2020-10-14,Wednesday,23,MasterCard,CVC,26,Online,Fashion,USA,USA,United Kingdom,F,53.7,RBS,True
2020-10-13,Tuesday,10,Visa,CVC,16,Online,Subscription,USA,USA,United Kingdom,F,55.5,Barclays,True
2020-10-14,Wednesday,22,Visa,PIN,131,ATM,Subscription,USA,USA,United Kingdom,M,47.6,Metro,True
2020-10-14,Wednesday,6,MasterCard,CVC,7,Online,Restaurant,India,India,United Kingdom,F,67.0,HSBC,True
2020-10-13,Tuesday,20,Visa,PIN,24,ATM,Services,Russia,Russia,United Kingdom,M,48.0,Halifax,True
2020-10-13,Tuesday,3,Visa,CVC,22,Online,Electronics,USA,USA,United Kingdom,F,39.9,Barclays,True
2020-10-13,Tuesday,19,Visa,PIN,23,ATM,Electronics,India,India,United Kingdom,F,66.2,Barlcays,True
2020-10-14,Wednesday,1,Visa,CVC,7,Online,Food,China,China,United Kingdom,F,53.0,RBS,True
2020-10-13,Tuesday,6,Visa,CVC,290,Online,Entertainment,India,India,United Kingdom,M,38.0,Barclays,True
2020-10-14,Wednesday,11,Visa,PIN,363,POS,Electronics,China,China,United Kingdom,F,39.0,Barclays,True
2020-10-13,Tuesday,15,Visa,PIN,10,ATM,Fashion,India,India,United Kingdom,F,51.6,HSBC,True
2020-10-14,Wednesday,15,MasterCard,CVC,20,Online,Gaming,United Kingdom,Russia,United Kingdom,F,44.7,Barclays,True
2020-10-13,Tuesday,11,Visa,Tap,16,POS,Children,USA,USA,United Kingdom,M,24.9,Barclays,True
2020-10-14,Wednesday,6,MasterCard,PIN,17,ATM,Electronics,USA,USA,United Kingdom,M,39.3,Barclays,True
2020-10-13,Tuesday,2,MasterCard,CVC,13,Online,Fashion,Russia,Russia,United Kingdom,F,38.6,Barclays,True
2020-10-14,Wednesday,4,Visa,CVC,21,Online,Electronics,India,India,United Kingdom,F,48.0,RBS,True
2020-10-14,Wednesday,9,Visa,Tap,8,POS,Food,China,China,United Kingdom,F,53.7,HSBC,True
2020-10-13,Tuesday,23,Visa,CVC,26,Online,Food,India,India,United Kingdom,M,43.2,Barclays,True
2020-10-13,Tuesday,10,MasterCard,CVC,23,Online,Electronics,USA,USA,United Kingdom,F,55.3,Lloyds,True
2020-10-14,Wednesday,23,Visa,CVC,5,Online,Services,China,China,United Kingdom,M,63.6,HSBC,True
2020-10-14,Wednesday,8,MasterCard,PIN,18,POS,Services,Russia,Russia,United Kingdom,M,55.6,Barclays,True
2020-10-13,Tuesday,13,Visa,CVC,275,Online,Children,United Kingdom,China,United Kingdom,F,37.6,Lloyds,True
2020-10-14,Wednesday,3,Visa,PIN,30,ATM,Children,India,India,United Kingdom,M,44.7,Metro,True
2020-10-13,Tuesday,10,Visa,CVC,130,Online,Entertainment,USA,USA,United Kingdom,M,38.1,HSBC,True
2020-10-13,Tuesday,13,MasterCard,PIN,9,ATM,Gaming,USA,USA,United Kingdom,M,51.0,Barclays,True
2020-10-14,Wednesday,2,Visa,PIN,363,POS,Food,USA,USA,United Kingdom,F,40.8,Barclays,True
2020-10-13,Tuesday,14,MasterCard,PIN,28,ATM,Children,USA,USA,United Kingdom,F,32.6,Halifax,True
2020-10-14,Wednesday,0,MasterCard,CVC,5,Online,Fashion,USA,USA,United Kingdom,F,41.0,Metro,True
2020-10-14,Wednesday,0,Visa,CVC,16,Online,Food,Russia,Russia,United Kingdom,M,50.3,Barclays,True
2020-10-14,Wednesday,6,Visa,CVC,16,Online,Food,Russia,Russia,United Kingdom,M,54.6,Halifax,True
2020-10-14,Wednesday,13,Visa,PIN,27,ATM,Restaurant,Russia,Russia,United Kingdom,F,40.7,Barclays,True
2020-10-13,Tuesday,1,Visa,CVC,16,Online,Products,China,China,United Kingdom,F,44.5,Barlcays,True
2020-10-13,Tuesday,1,MasterCard,Tap,7,POS,Children,India,India,United Kingdom,F,32.9,RBS,True
2020-10-13,Tuesday,21,Visa,PIN,5,ATM,Fashion,USA,USA,United Kingdom,F,54.5,Barlcays,True
2020-10-14,Wednesday,12,Visa,CVC,14,Online,Electronics,USA,USA,United Kingdom,M,55.7,Monzo,True
2020-10-14,Wednesday,13,Visa,CVC,8,Online,Services,India,India,United Kingdom,M,35.8,Barlcays,True
2020-10-14,Wednesday,0,MasterCard,PIN,11,ATM,Children,USA,USA,United Kingdom,F,31.6,Barclays,True
2020-10-13,Tuesday,5,Visa,CVC,29,Online,Food,India,India,United Kingdom,F,28.6,Barclays,True
2020-10-13,Tuesday,2,MasterCard,Tap,27,POS,Entertainment,China,China,United Kingdom,M,50.5,Lloyds,True
2020-10-14,Wednesday,6,Visa,PIN,31,ATM,Children,USA,USA,United Kingdom,F,25.2,Barclays,True
2020-10-14,Wednesday,13,MasterCard,CVC,106,Online,Entertainment,China,China,United Kingdom,F,73.1,Monzo,True
2020-10-13,Tuesday,22,Visa,PIN,12,ATM,Children,India,India,United Kingdom,F,50.8,Halifax,True
2020-10-14,Wednesday,11,Visa,Tap,18,POS,Children,USA,USA,United Kingdom,M,54.9,Barclays,True
2020-10-14,Wednesday,2,MasterCard,Tap,12,POS,Subscription,India,India,United Kingdom,M,46.3,Barclays,True
2020-10-13,Tuesday,4,MasterCard,PIN,395,POS,Electronics,Russia,Russia,United Kingdom,M,48.1,Metro,True
2020-10-14,Wednesday,23,Visa,CVC,355,Online,Children,Russia,Russia,United Kingdom,F,40.5,HSBC,True
2020-10-13,Tuesday,2,Visa,CVC,18,Online,Subscription,United Kingdom,China,United Kingdom,F,45.7,Barclays,True
2020-10-13,Tuesday,14,Visa,PIN,155,ATM,Fashion,India,India,United Kingdom,F,57.4,Lloyds,True
2020-10-13,Tuesday,20,MasterCard,CVC,346,Online,Restaurant,India,India,United Kingdom,F,49.2,Lloyds,True
2020-10-13,Tuesday,19,Visa,CVC,11,Online,Electronics,India,United Kingdom,India,M,45.0,HSBC,True
2020-10-13,Tuesday,6,MasterCard,PIN,8,ATM,Electronics,Russia,Russia,United Kingdom,M,41.3,Barclays,True
2020-10-13,Tuesday,7,MasterCard,Tap,11,POS,Entertainment,China,China,United Kingdom,M,50.7,Barclays,True
2020-10-13,Tuesday,11,MasterCard,Tap,28,POS,Fashion,USA,USA,United Kingdom,M,68.4,Barlcays,True
2020-10-14,Wednesday,12,MasterCard,PIN,20,ATM,Entertainment,India,India,United Kingdom,F,43.7,RBS,True
2020-10-14,Wednesday,6,MasterCard,Tap,16,POS,Children,United Kingdom,India,United Kingdom,M,41.8,RBS,True
2020-10-13,Tuesday,4,MasterCard,CVC,20,Online,Products,Russia,Russia,United Kingdom,F,52.2,Barclays,True
2020-10-13,Tuesday,2,Visa,PIN,9,ATM,Gaming,Russia,Russia,United Kingdom,F,53.5,Barclays,True
2020-10-14,Wednesday,7,Visa,CVC,24,Online,Products,China,China,United Kingdom,F,62.2,Barclays,True
2020-10-13,Tuesday,5,MasterCard,CVC,20,Online,Entertainment,United Kingdom,Russia,United Kingdom,F,43.5,Barclays,True
2020-10-14,Wednesday,12,Visa,CVC,6,Online,Children,Russia,Russia,Russia,M,43.0,Barclays,True
2020-10-14,Wednesday,4,Visa,CVC,11,Online,Food,China,China,United Kingdom,M,43.3,Barclays,True
2020-10-14,Wednesday,20,MasterCard,Tap,10,POS,Children,India,India,United Kingdom,F,56.0,HSBC,True
2020-10-13,Tuesday,1,MasterCard,Tap,10,POS,Services,USA,USA,United Kingdom,F,33.5,Barclays,True
2020-10-13,Tuesday,20,MasterCard,CVC,22,Online,Fashion,China,China,United Kingdom,M,40.2,RBS,True
2020-10-14,Wednesday,2,MasterCard,PIN,13,ATM,Electronics,USA,USA,United Kingdom,F,50.7,Barlcays,True
2020-10-13,Tuesday,16,Visa,Tap,24,POS,Children,India,India,United Kingdom,F,37.7,Lloyds,True
2020-10-13,Tuesday,23,Visa,Tap,24,POS,Products,India,India,United Kingdom,F,50.6,Barclays,True
2020-10-13,Tuesday,16,Visa,Tap,10,POS,Services,USA,USA,United Kingdom,M,42.9,Barlcays,True
2020-10-13,Tuesday,6,MasterCard,PIN,6,ATM,Restaurant,India,India,United Kingdom,F,42.2,Barlcays,True
2020-10-14,Wednesday,11,Visa,CVC,29,Online,Fashion,Russia,Russia,United Kingdom,F,43.3,Barclays,True
2020-10-14,Wednesday,23,MasterCard,PIN,5,ATM,Gaming,India,India,United Kingdom,M,40.6,HSBC,True
2020-10-14,Wednesday,2,MasterCard,CVC,28,Online,Restaurant,United Kingdom,Russia,United Kingdom,M,37.1,HSBC,True
2020-10-14,Wednesday,22,Visa,PIN,22,ATM,Restaurant,USA,USA,United Kingdom,M,38.1,Monzo,True
2020-10-14,Wednesday,5,MasterCard,CVC,15,Online,Electronics,USA,USA,United Kingdom,F,38.1,HSBC,True
2020-10-14,Wednesday,11,Visa,Tap,26,POS,Restaurant,USA,USA,United Kingdom,M,46.1,Barlcays,True
2020-10-14,Wednesday,5,Visa,Tap,18,POS,Entertainment,USA,USA,United Kingdom,M,42.7,HSBC,True
2020-10-13,Tuesday,23,Visa,CVC,20,Online,Services,India,India,United Kingdom,F,32.7,Barclays,True
2020-10-14,Wednesday,2,Visa,PIN,14,ATM,Gaming,Russia,Russia,United Kingdom,M,37.7,Monzo,True
2020-10-13,Tuesday,9,Visa,CVC,7,Online,Subscription,Russia,Russia,United Kingdom,M,45.5,Barclays,True
2020-10-13,Tuesday,19,Visa,Tap,10,POS,Entertainment,United Kingdom,China,United Kingdom,M,55.0,Barclays,True
2020-10-13,Tuesday,0,MasterCard,CVC,258,Online,Restaurant,China,China,United Kingdom,M,38.4,Monzo,True
2020-10-13,Tuesday,9,Visa,PIN,6,ATM,Children,India,India,United Kingdom,M,59.0,Barclays,True
2020-10-13,Tuesday,21,MasterCard,CVC,16,Online,Food,China,China,United Kingdom,M,54.9,Barclays,True
2020-10-13,Tuesday,18,MasterCard,PIN,29,ATM,Products,China,China,United Kingdom,F,33.1,Halifax,True
2020-10-13,Tuesday,23,Visa,Tap,26,POS,Gaming,China,China,United Kingdom,M,35.5,Lloyds,True
2020-10-14,Wednesday,3,Visa,CVC,17,Online,Subscription,China,China,United Kingdom,M,37.4,RBS,True
2020-10-13,Tuesday,0,MasterCard,CVC,21,Online,Subscription,India,India,United Kingdom,M,38.1,RBS,True
2020-10-13,Tuesday,10,MasterCard,CVC,24,Online,Children,India,India,United Kingdom,M,34.7,RBS,True
2020-10-13,Tuesday,0,Visa,Tap,23,POS,Services,India,India,United Kingdom,F,55.7,Halifax,True
2020-10-14,Wednesday,23,Visa,PIN,313,ATM,Products,India,India,United Kingdom,M,37.6,Barlcays,True
2020-10-14,Wednesday,14,Visa,PIN,25,ATM,Children,USA,USA,United Kingdom,M,22.5,Halifax,True
2020-10-13,Tuesday,23,Visa,Tap,14,POS,Services,Russia,Russia,United Kingdom,M,39.2,Barclays,True
2020-10-14,Wednesday,23,Visa,Tap,20,POS,Fashion,United Kingdom,India,United Kingdom,M,39.8,Metro,True
2020-10-13,Tuesday,18,Visa,CVC,14,Online,Children,India,India,United Kingdom,M,45.3,Barclays,True
2020-10-14,Wednesday,6,Visa,CVC,88,Online,Children,United Kingdom,China,United Kingdom,M,44.4,Barlcays,True
2020-10-14,Wednesday,12,MasterCard,CVC,25,Online,Children,India,India,United Kingdom,F,47.6,Halifax,True
2020-10-13,Tuesday,16,Visa,CVC,5,Online,Fashion,India,India,United Kingdom,F,41.9,Barclays,True
2020-10-14,Wednesday,9,Visa,CVC,9,Online,Entertainment,USA,USA,United Kingdom,M,42.9,Lloyds,True
2020-10-13,Tuesday,12,Visa,PIN,14,ATM,Electronics,United Kingdom,USA,United Kingdom,M,38.2,RBS,True
2020-10-13,Tuesday,2,MasterCard,Tap,13,POS,Children,China,China,United Kingdom,F,41.7,RBS,True
2020-10-14,Wednesday,1,MasterCard,CVC,9,Online,Fashion,United Kingdom,Russia,United Kingdom,F,43.8,Monzo,True
2020-10-14,Wednesday,14,Visa,Tap,11,POS,Restaurant,India,India,United Kingdom,F,56.6,Monzo,True
2020-10-13,Tuesday,16,MasterCard,CVC,14,Online,Food,USA,USA,United Kingdom,M,64.3,Metro,True
2020-10-14,Wednesday,4,MasterCard,CVC,5,Online,Products,United Kingdom,Russia,United Kingdom,M,36.9,Metro,True
2020-10-13,Tuesday,10,Visa,PIN,154,POS,Services,USA,USA,United Kingdom,F,51.1,Metro,True
2020-10-14,Wednesday,17,Visa,CVC,18,Online,Products,USA,USA,United Kingdom,M,50.0,Monzo,True
2020-10-14,Wednesday,23,Visa,CVC,9,Online,Services,United Kingdom,China,United Kingdom,M,23.1,Barclays,True
2020-10-13,Tuesday,5,Visa,CVC,9,Online,Restaurant,China,China,United Kingdom,F,68.2,Lloyds,True
2020-10-14,Wednesday,5,Visa,PIN,269,POS,Electronics,USA,USA,United Kingdom,M,31.0,Barclays,True
2020-10-14,Wednesday,6,MasterCard,PIN,14,ATM,Fashion,Russia,Russia,United Kingdom,M,54.7,Barlcays,True
2020-10-14,Wednesday,12,MasterCard,CVC,26,Online,Services,Russia,Russia,United Kingdom,F,34.6,Halifax,True
2020-10-13,Tuesday,6,Visa,Tap,22,POS,Children,USA,USA,United Kingdom,M,66.3,HSBC,True
2020-10-13,Tuesday,21,Visa,Tap,24,POS,Products,USA,USA,United Kingdom,F,45.4,HSBC,True
2020-10-14,Wednesday,3,Visa,PIN,12,ATM,Subscription,India,India,United Kingdom,M,40.0,Monzo,True
2020-10-13,Tuesday,9,Visa,CVC,29,Online,Entertainment,USA,USA,United Kingdom,F,57.3,Barclays,True
2020-10-13,Tuesday,19,Visa,CVC,19,Online,Food,India,India,United Kingdom,M,32.0,Monzo,True
2020-10-13,Tuesday,15,MasterCard,CVC,173,Online,Subscription,India,India,United Kingdom,F,32.1,Lloyds,True
2020-10-13,Tuesday,5,MasterCard,CVC,46,Online,Fashion,India,India,United Kingdom,M,34.5,Barclays,True
2020-10-13,Tuesday,0,Visa,Tap,16,POS,Gaming,Russia,Russia,United Kingdom,F,60.1,Lloyds,True
2020-10-13,Tuesday,10,Visa,PIN,223,POS,Restaurant,USA,USA,United Kingdom,F,53.8,RBS,True
2020-10-13,Tuesday,5,Visa,CVC,24,Online,Products,USA,United Kingdom,USA,M,44.2,HSBC,True
2020-10-14,Wednesday,6,Visa,Tap,27,POS,Subscription,Russia,Russia,United Kingdom,M,39.1,Monzo,True
2020-10-13,Tuesday,20,Visa,PIN,32,ATM,Fashion,India,India,United Kingdom,M,47.0,Halifax,True
2020-10-14,Wednesday,0,Visa,Tap,11,POS,Fashion,Russia,Russia,United Kingdom,M,53.9,Barclays,True
2020-10-14,Wednesday,3,Visa,Tap,12,POS,Services,India,India,United Kingdom,F,41.2,Lloyds,True
2020-10-14,Wednesday,19,MasterCard,Tap,20,POS,Children,USA,United Kingdom,USA,M,47.4,Halifax,True
2020-10-13,Tuesday,0,Visa,PIN,12,ATM,Fashion,United Kingdom,Russia,United Kingdom,M,51.6,Metro,True
2020-10-13,Tuesday,20,MasterCard,CVC,28,Online,Services,Russia,Russia,United Kingdom,M,46.9,Halifax,True
2020-10-14,Wednesday,5,Visa,CVC,148,Online,Children,Russia,United Kingdom,Russia,F,31.8,Barclays,True
2020-10-13,Tuesday,0,Visa,Tap,23,POS,Restaurant,China,China,United Kingdom,M,33.3,Halifax,True
2020-10-13,Tuesday,2,MasterCard,CVC,15,Online,Products,China,China,United Kingdom,M,31.9,Lloyds,True
2020-10-13,Tuesday,3,Visa,CVC,25,Online,Children,USA,USA,United Kingdom,F,40.6,Lloyds,True
2020-10-14,Wednesday,4,Visa,Tap,29,POS,Services,United Kingdom,India,United Kingdom,M,48.5,RBS,True
2020-10-13,Tuesday,2,Visa,CVC,18,Online,Food,India,India,United Kingdom,M,42.1,Metro,True
2020-10-14,Wednesday,5,MasterCard,Tap,25,POS,Electronics,USA,United Kingdom,USA,M,49.9,Barclays,True
2020-10-14,Wednesday,12,Visa,Tap,8,POS,Subscription,United Kingdom,China,United Kingdom,M,53.4,Metro,True
2020-10-13,Tuesday,23,Visa,Tap,5,POS,Subscription,China,China,United Kingdom,M,33.7,Lloyds,True
2020-10-14,Wednesday,15,MasterCard,PIN,29,ATM,Children,China,China,United Kingdom,M,58.0,Barlcays,True
2020-10-13,Tuesday,21,Visa,PIN,29,ATM,Food,USA,USA,United Kingdom,F,55.1,Halifax,True
2020-10-14,Wednesday,15,MasterCard,CVC,121,Online,Children,India,India,United Kingdom,M,35.6,RBS,True
2020-10-13,Tuesday,23,Visa,CVC,60,Online,Fashion,India,India,United Kingdom,M,28.2,Barlcays,True
2020-10-14,Wednesday,3,Visa,PIN,26,ATM,Electronics,Russia,Russia,United Kingdom,M,35.6,Lloyds,True
2020-10-13,Tuesday,2,Visa,PIN,153,POS,Electronics,USA,USA,United Kingdom,F,43.1,Monzo,True
2020-10-14,Wednesday,19,Visa,CVC,17,Online,Products,USA,USA,United Kingdom,F,36.0,Monzo,True
2020-10-13,Tuesday,8,MasterCard,CVC,21,Online,Entertainment,United Kingdom,China,United Kingdom,F,39.3,Barlcays,True
2020-10-13,Tuesday,6,MasterCard,PIN,8,ATM,Gaming,India,India,United Kingdom,F,58.0,Metro,True
2020-10-14,Wednesday,5,Visa,CVC,16,Online,Entertainment,Russia,Russia,United Kingdom,M,49.6,Monzo,True
2020-10-14,Wednesday,16,Visa,Tap,27,POS,Food,USA,USA,United Kingdom,F,49.6,Barclays,True
2020-10-14,Wednesday,1,Visa,PIN,272,ATM,Fashion,India,India,United Kingdom,F,66.9,Halifax,True
2020-10-13,Tuesday,3,MasterCard,CVC,8,Online,Children,United Kingdom,USA,United Kingdom,M,41.5,RBS,True
2020-10-14,Wednesday,4,MasterCard,CVC,12,Online,Subscription,USA,USA,United Kingdom,M,50.9,Barlcays,True
2020-10-13,Tuesday,7,Visa,PIN,29,ATM,Subscription,United Kingdom,USA,United Kingdom,M,60.8,Barclays,True
2020-10-13,Tuesday,6,Visa,PIN,374,ATM,Children,USA,USA,United Kingdom,F,34.5,Barlcays,True
2020-10-13,Tuesday,23,Visa,Tap,10,POS,Entertainment,USA,USA,United Kingdom,F,47.9,Barclays,True
2020-10-14,Wednesday,12,Visa,PIN,378,POS,Electronics,USA,USA,United Kingdom,F,51.6,Metro,True
2020-10-13,Tuesday,14,MasterCard,CVC,25,Online,Restaurant,India,India,United Kingdom,F,39.5,Monzo,True
2020-10-14,Wednesday,10,Visa,Tap,13,POS,Services,China,China,United Kingdom,M,54.2,Halifax,True
2020-10-14,Wednesday,19,Visa,CVC,382,Online,Children,Russia,Russia,United Kingdom,M,43.0,Barclays,True
2020-10-14,Wednesday,22,MasterCard,CVC,15,Online,Restaurant,USA,USA,United Kingdom,M,41.1,Barclays,True
2020-10-13,Tuesday,22,Visa,CVC,5,Online,Electronics,Russia,Russia,United Kingdom,F,44.9,Barclays,True
2020-10-13,Tuesday,19,Visa,PIN,25,ATM,Children,China,China,United Kingdom,F,27.5,Barclays,True
2020-10-14,Wednesday,0,MasterCard,PIN,240,ATM,Subscription,China,China,United Kingdom,M,48.4,Barclays,True
2020-10-14,Wednesday,4,MasterCard,CVC,28,Online,Services,United Kingdom,Russia,United Kingdom,F,52.4,Halifax,True
2020-10-14,Wednesday,18,Visa,PIN,17,ATM,Entertainment,USA,USA,United Kingdom,M,61.2,HSBC,True
2020-10-14,Wednesday,8,MasterCard,CVC,18,Online,Electronics,United Kingdom,USA,United Kingdom,M,58.1,Barclays,True
2020-10-13,Tuesday,9,Visa,Tap,12,POS,Gaming,United Kingdom,India,United Kingdom,M,36.4,Barclays,True
2020-10-13,Tuesday,16,Visa,Tap,10,POS,Restaurant,China,China,United Kingdom,M,30.9,Barlcays,True
2020-10-14,Wednesday,23,Visa,PIN,16,ATM,Products,China,China,United Kingdom,M,50.2,HSBC,True
2020-10-13,Tuesday,0,Visa,CVC,20,Online,Subscription,United Kingdom,China,United Kingdom,M,52.1,Barlcays,True
2020-10-14,Wednesday,5,MasterCard,CVC,13,Online,Services,Russia,Russia,United Kingdom,F,49.9,Halifax,True
2020-10-13,Tuesday,0,MasterCard,Tap,5,POS,Fashion,Russia,Russia,United Kingdom,M,41.0,Halifax,True
2020-10-13,Tuesday,6,Visa,CVC,30,Online,Food,China,China,United Kingdom,F,51.3,Monzo,True
2020-10-14,Wednesday,9,Visa,PIN,13,ATM,Children,United Kingdom,India,United Kingdom,M,49.5,RBS,True
2020-10-13,Tuesday,6,MasterCard,CVC,16,Online,Products,Russia,Russia,United Kingdom,M,35.2,Barlcays,True
2020-10-14,Wednesday,7,MasterCard,Tap,18,POS,Restaurant,China,China,United Kingdom,M,51.7,RBS,True
2020-10-14,Wednesday,3,Visa,PIN,349,ATM,Children,India,India,United Kingdom,M,19.5,Barclays,True
2020-10-14,Wednesday,10,MasterCard,PIN,170,POS,Food,China,China,United Kingdom,M,42.1,Monzo,True
2020-10-13,Tuesday,0,Visa,CVC,113,Online,Electronics,USA,USA,United Kingdom,F,66.3,RBS,True
2020-10-14,Wednesday,13,MasterCard,PIN,124,POS,Children,USA,USA,United Kingdom,M,52.2,Metro,True
2020-10-13,Tuesday,16,MasterCard,PIN,26,ATM,Children,China,China,United Kingdom,F,43.1,Barclays,True
2020-10-13,Tuesday,6,Visa,CVC,10,Online,Electronics,USA,USA,United Kingdom,F,42.2,Halifax,True
2020-10-13,Tuesday,19,MasterCard,PIN,8,ATM,Products,India,India,United Kingdom,M,56.8,Barclays,True
2020-10-14,Wednesday,15,Visa,CVC,11,Online,Products,United Kingdom,USA,United Kingdom,F,35.0,Barlcays,True
2020-10-13,Tuesday,5,Visa,CVC,7,Online,Services,USA,USA,United Kingdom,F,35.3,RBS,True
2020-10-13,Tuesday,18,Visa,CVC,259,Online,Electronics,United Kingdom,Russia,United Kingdom,M,45.7,Barlcays,True
2020-10-14,Wednesday,0,Visa,CVC,14,Online,Entertainment,USA,USA,United Kingdom,M,40.5,Monzo,True
2020-10-14,Wednesday,6,MasterCard,Tap,5,POS,Fashion,China,China,United Kingdom,M,37.9,Barlcays,True
2020-10-13,Tuesday,21,MasterCard,CVC,343,Online,Children,United Kingdom,USA,United Kingdom,M,48.8,HSBC,True
2020-10-13,Tuesday,7,MasterCard,CVC,9,Online,Children,United Kingdom,India,United Kingdom,M,44.5,Halifax,True
2020-10-13,Tuesday,1,Visa,CVC,24,Online,Services,India,India,United Kingdom,M,38.3,Barclays,True
2020-10-13,Tuesday,3,MasterCard,CVC,12,Online,Children,Russia,Russia,United Kingdom,F,63.2,Lloyds,True
2020-10-13,Tuesday,10,MasterCard,Tap,19,POS,Services,Russia,Russia,United Kingdom,M,38.0,Barclays,True
2020-10-13,Tuesday,17,Visa,Tap,25,POS,Electronics,Russia,Russia,United Kingdom,M,49.2,Lloyds,True
2020-10-13,Tuesday,10,Visa,CVC,12,Online,Services,USA,USA,United Kingdom,M,38.7,RBS,True
2020-10-14,Wednesday,10,MasterCard,PIN,363,ATM,Children,USA,USA,United Kingdom,M,44.7,Barclays,True
2020-10-13,Tuesday,10,MasterCard,PIN,266,POS,Children,China,China,United Kingdom,M,54.1,Barclays,True
2020-10-13,Tuesday,11,Visa,CVC,384,Online,Gaming,India,India,United Kingdom,F,46.9,Metro,True
2020-10-13,Tuesday,5,Visa,Tap,27,POS,Subscription,United Kingdom,USA,United Kingdom,M,48.5,Barclays,True
2020-10-13,Tuesday,14,MasterCard,CVC,149,Online,Children,China,China,United Kingdom,M,38.5,Monzo,True
2020-10-14,Wednesday,1,Visa,PIN,9,ATM,Gaming,Russia,Russia,United Kingdom,M,61.0,Barclays,True
2020-10-13,Tuesday,8,MasterCard,Tap,12,POS,Subscription,United Kingdom,India,United Kingdom,M,48.2,Metro,True
2020-10-14,Wednesday,14,MasterCard,Tap,12,POS,Subscription,USA,USA,United Kingdom,F,38.6,Metro,True
2020-10-14,Wednesday,2,Visa,Tap,21,POS,Food,India,India,United Kingdom,M,54.9,Monzo,True
2020-10-14,Wednesday,0,Visa,Tap,22,POS,Food,Russia,Russia,United Kingdom,M,49.4,Halifax,True
2020-10-13,Tuesday,22,Visa,PIN,20,ATM,Food,Russia,Russia,United Kingdom,M,57.8,Halifax,True
2020-10-14,Wednesday,2,MasterCard,Tap,6,POS,Restaurant,China,China,United Kingdom,M,54.5,Metro,True
2020-10-14,Wednesday,13,Visa,CVC,10,Online,Services,USA,USA,United Kingdom,F,51.0,Monzo,True
2020-10-13,Tuesday,20,Visa,CVC,11,Online,Fashion,USA,USA,United Kingdom,F,59.0,HSBC,True
2020-10-13,Tuesday,2,Visa,CVC,28,Online,Products,USA,USA,United Kingdom,F,56.8,RBS,True
2020-10-14,Wednesday,14,MasterCard,CVC,234,Online,Restaurant,Russia,Russia,United Kingdom,M,51.3,Barclays,True
2020-10-13,Tuesday,23,Visa,PIN,14,ATM,Gaming,USA,USA,United Kingdom,M,48.6,Halifax,True
2020-10-14,Wednesday,9,Visa,CVC,22,Online,Food,Russia,Russia,United Kingdom,F,57.9,Barclays,True
2020-10-14,Wednesday,12,Visa,CVC,140,Online,Children,USA,USA,United Kingdom,F,60.9,Metro,True
2020-10-13,Tuesday,19,MasterCard,PIN,20,ATM,Children,China,China,United Kingdom,F,44.3,Monzo,True
2020-10-13,Tuesday,11,Visa,PIN,8,ATM,Electronics,United Kingdom,India,United Kingdom,M,30.3,Monzo,True
2020-10-14,Wednesday,4,Visa,CVC,243,Online,Fashion,Russia,Russia,United Kingdom,F,56.4,Metro,True
2020-10-13,Tuesday,7,Visa,PIN,24,ATM,Restaurant,India,India,United Kingdom,M,53.8,Barlcays,True
2020-10-13,Tuesday,15,Visa,PIN,20,ATM,Electronics,India,India,United Kingdom,F,44.7,Lloyds,True
2020-10-14,Wednesday,1,Visa,Tap,12,POS,Fashion,USA,USA,United Kingdom,M,46.1,HSBC,True
2020-10-14,Wednesday,1,MasterCard,PIN,20,ATM,Electronics,USA,USA,United Kingdom,M,49.4,Barlcays,True
2020-10-14,Wednesday,12,MasterCard,Tap,11,POS,Services,India,India,United Kingdom,M,25.4,Barlcays,True
2020-10-13,Tuesday,5,Visa,Tap,7,POS,Products,India,India,United Kingdom,F,33.6,RBS,True
2020-10-13,Tuesday,8,MasterCard,CVC,18,Online,Electronics,United Kingdom,Russia,United Kingdom,M,35.2,RBS,True
2020-10-14,Wednesday,3,Visa,CVC,178,Online,Products,Russia,Russia,United Kingdom,F,24.6,Monzo,True
2020-10-14,Wednesday,16,Visa,Tap,20,POS,Fashion,USA,USA,United Kingdom,M,40.8,Halifax,True
2020-10-14,Wednesday,6,MasterCard,CVC,11,Online,Children,China,China,United Kingdom,F,38.3,RBS,True
2020-10-14,Wednesday,13,Visa,CVC,339,Online,Entertainment,Russia,Russia,United Kingdom,M,35.7,Monzo,True
2020-10-13,Tuesday,8,MasterCard,PIN,10,ATM,Food,India,India,United Kingdom,M,47.1,Barclays,True
2020-10-13,Tuesday,6,MasterCard,Tap,11,POS,Restaurant,United Kingdom,USA,United Kingdom,M,43.7,Barclays,True
2020-10-13,Tuesday,13,Visa,CVC,21,Online,Gaming,India,India,United Kingdom,M,43.4,Lloyds,True
2020-10-14,Wednesday,9,MasterCard,Tap,7,POS,Services,China,China,United Kingdom,M,54.1,Barlcays,True
2020-10-14,Wednesday,14,Visa,PIN,6,ATM,Subscription,India,India,United Kingdom,M,49.3,Metro,True
